gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
94655232,85312280-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Lumnitzera,Lumnitzera racemosa,,SPECIES,Lumnitzera racemosa Willd.,Lumnitzera racemosa,,PG,Daru,Western,PRESENT,NA,c4254a00-cb2b-11d8-bf68-b8a03c50a862,-9.091667,143.175,NA,NA,NA,NA,NA,NA,1984-01-22,22,1,1984,6435171,6435171,OCCURRENCE,BRI,PNGplants,29421,,,NA,CC_BY_4_0,,Duke N.C.,,,2024-03-15T17:55:12Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
94655217,85312280-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Lumnitzera,Lumnitzera racemosa,,SPECIES,Lumnitzera racemosa Willd.,Lumnitzera racemosa,,PG,Ca 8 miles N of Kapa Kapa,Gulf,PRESENT,NA,c4254a00-cb2b-11d8-bf68-b8a03c50a862,-7.683333,145.333333,NA,NA,NA,NA,NA,NA,1962-08-09,9,8,1962,6435171,6435171,OCCURRENCE,BRI,PNGplants,29420,,,NA,CC_BY_4_0,,Schodde R.,,,2024-03-15T17:55:12Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
94655207,85312280-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Lumnitzera,Lumnitzera racemosa,,SPECIES,Lumnitzera racemosa Willd.,Lumnitzera racemosa,,PG,"Bootless Bay, Central District, Papua",Central,PRESENT,NA,c4254a00-cb2b-11d8-bf68-b8a03c50a862,-9.591667,147.258333,NA,NA,NA,NA,NA,NA,1964-12-15,15,12,1964,6435171,6435171,OCCURRENCE,BRI,PNGplants,29419,,,NA,CC_BY_4_0,,Gillison A.N.,,,2024-03-15T17:55:12Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;BASIS_OF_RECORD_INVALID
94655200,85312280-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Lumnitzera,Lumnitzera racemosa,,SPECIES,Lumnitzera racemosa Willd.,Lumnitzera racemosa,,PG,"Cape Vogel, Baniara Subdistrict",Milne bay,PRESENT,NA,c4254a00-cb2b-11d8-bf68-b8a03c50a862,-9.666667,150,NA,NA,NA,NA,NA,NA,1954-09-18,18,9,1954,6435171,6435171,OCCURRENCE,BRI,PNGplants,29418,,,NA,CC_BY_4_0,,Saunders J.C.,,,2024-03-15T17:55:12Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
94655194,85312280-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Lumnitzera,Lumnitzera racemosa,,SPECIES,Lumnitzera racemosa Willd.,Lumnitzera racemosa,,PG,Near Komabun Village,,PRESENT,NA,c4254a00-cb2b-11d8-bf68-b8a03c50a862,-9,149,NA,NA,NA,NA,NA,NA,1954-06-24,24,6,1954,6435171,6435171,OCCURRENCE,BRI,PNGplants,29417,,,NA,CC_BY_4_0,,Hoogland R.D.,,,2024-03-15T17:55:12Z,,GEODETIC_DATUM_ASSUMED_WGS84;BASIS_OF_RECORD_INVALID
94655186,85312280-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Lumnitzera,Lumnitzera racemosa,,SPECIES,Lumnitzera racemosa Willd.,Lumnitzera racemosa,,PG,Daru Island,Western,PRESENT,NA,c4254a00-cb2b-11d8-bf68-b8a03c50a862,-9,143.166667,NA,NA,NA,NA,NA,NA,1936-02-29,29,2,1936,6435171,6435171,OCCURRENCE,BRI,PNGplants,29416,,,NA,CC_BY_4_0,,Brass L.J.,,,2024-03-15T17:55:12Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
94655175,85312280-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Lumnitzera,Lumnitzera racemosa,,SPECIES,Lumnitzera racemosa Willd.,Lumnitzera racemosa,,PG,Morebe,Morobe,PRESENT,NA,c4254a00-cb2b-11d8-bf68-b8a03c50a862,-7.666667,147.5,NA,NA,NA,NA,NA,NA,1947-12-29,29,12,1947,6435171,6435171,OCCURRENCE,BRI,PNGplants,29415,,,NA,CC_BY_4_0,,Womersley J.S.,,,2024-03-15T17:55:12Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
94655167,85312280-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Lumnitzera,Lumnitzera racemosa,,SPECIES,Lumnitzera racemosa Willd.,Lumnitzera racemosa,,PG,Domara,,PRESENT,NA,c4254a00-cb2b-11d8-bf68-b8a03c50a862,-10.166667,148.5,NA,NA,NA,NA,NA,NA,1926-05-27,27,5,1926,6435171,6435171,OCCURRENCE,BRI,PNGplants,29414,,,NA,CC_BY_4_0,,Brass L.J.,,,2024-03-15T17:55:12Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
94655160,85312280-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Lumnitzera,Lumnitzera racemosa,,SPECIES,Lumnitzera racemosa Willd.,Lumnitzera racemosa,,PG,"Ca 7 miles NW of Hisiu Village, Kairuku Subdistrict, Central District",Central,PRESENT,NA,c4254a00-cb2b-11d8-bf68-b8a03c50a862,-9,146.666667,NA,NA,3,NA,NA,NA,1962-08-20,20,8,1962,6435171,6435171,OCCURRENCE,BRI,PNGplants,29413,,,NA,CC_BY_4_0,,Darbyshire P.J.,,,2024-03-15T17:55:12Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
931134499,4443b1f2-231b-4e60-b343-8c93fba93982,CAL23381_416,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Lumnitzera,Lumnitzera racemosa,,SPECIES,Lumnitzera racemosa Willd.,Lumnitzera racemosa Willdenow,,NC,Baie de Tina - Pointe Lasalle,Nouvelle-Caledonie,PRESENT,NA,a6de8f30-d931-11db-973c-b8a03c50a862,-22.25,166.495833,NA,NA,0,NA,NA,NA,1979-02-26,26,2,1979,6435171,6435171,PRESERVED_SPECIMEN,Université de Strasbourg,CAL,CAL23381_416,,,NA,CC_BY_4_0,,Hoff M.,,,2024-01-24T17:50:01Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
